web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,prix,adresse,images-src
"1716574468-1","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Jolie appartement meublé","https://www.dakarvente.com/annonce-43589-jolie-appartement-meubl.html","Jolie appartement meublé","45.000  FCFA","Dakar","media/annonces/pics/99e1599e647de4d2974abf143d8cb789.jpeg"
"1716574472-2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","F3 à louer","https://www.dakarvente.com/annonce-43613-f3-louer.html","F3 à louer","400.000  FCFA","Almadies","media/annonces/pics/7c5befbf23e17de6b0bf10b7f8f2c3a0.jpeg"
"1716574476-3","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement F4 de grand standing à louer aux Almadies","https://www.dakarvente.com/annonce-43633-appartement-f4-de-grand-standing-louer-aux-almadies.html","Appartement F4 de grand standing à louer aux Almadies","1.600.000  FCFA","Almadies","media/annonces/pics/0c995a254853a0a8c4bc3ce7d5d1eaf6.jpg"
"1716574481-4","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Studio grand standing à louer aux mamelles","https://www.dakarvente.com/annonce-43636-studio-grand-standing-louer-aux-mamelles.html","Studio grand standing à louer aux mamelles","225.000  FCFA","Mamelles","media/annonces/pics/07c74e9a03bf290ca5e7f5fcbd7c2d4b.jpg"
"1716574488-5","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","STUDIO MEUBLÉ SUR LA CORNICHE OUEST","https://www.dakarvente.com/annonce-43662-studio-meubl-sur-la-corniche-ouest.html","STUDIO MEUBLÉ SUR LA CORNICHE OUEST","40.000  FCFA","Fann","media/annonces/pics/ee80028120f108995775b862c86558ab.jpeg"
"1716574493-6","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement a louer","https://www.dakarvente.com/annonce-43664-appartement-a-louer.html","Appartement a louer","300.000  FCFA","Ouest Foire","media/annonces/pics/898a7a6a416e46bd858fdd550290b671.jpeg"
"1716574497-7","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Chambre salle de bain à louer","https://www.dakarvente.com/annonce-43666-chambre-salle-de-bain-louer.html","Chambre salle de bain à louer","100.000  FCFA","Ouest Foire","media/annonces/pics/bb374acfa1aa4cdcd8d858988499754c.jpeg"
"1716574504-8","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement 2 chambre salon ( sacree coeur !","https://www.dakarvente.com/annonce-43684-appartement-2-chambre-salon-sacree-coeur.html","Appartement 2 chambre salon ( sacree coeur !","275.000  FCFA","Sacré Coeur","media/annonces/pics/e6fa432f8daed67fb601b41201c6dbe9.jpeg"
"1716574507-9","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Studio à louer","https://www.dakarvente.com/annonce-43701-studio-louer.html","Studio à louer","200.000  FCFA","Ouest Foire","media/annonces/pics/c278972ea61cec4663ac7e4bdaee357d.jpeg"
"1716574511-10","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement à louer Apix VDN3","https://www.dakarvente.com/annonce-43702-appartement-louer-apix-vdn3.html","Appartement à louer Apix VDN3","250.000  FCFA","Keur Massar","img/nophoto.png"
"1716574518-11","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","A louer appartement Tout Neuf à Zac Mbao","https://www.dakarvente.com/annonce-43714-a-louer-appartement-tout-neuf-zac-mbao.html","A louer appartement Tout Neuf à Zac Mbao","120.000  FCFA","Mbao","media/annonces/pics/d336a396ac72d0d56da132ec2f757eb5.jpg"
"1716574523-12","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Mini studio a louer","https://www.dakarvente.com/annonce-43735-mini-studio-a-louer.html","Mini studio a louer","100.000  FCFA","Ouest Foire","media/annonces/pics/5b1fea457b7a2a02c1f9f53c56b6e76c.jpeg"
"1716574528-13","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Studio avec terrasse privée à louer aux mamelles","https://www.dakarvente.com/annonce-43744-studio-avec-terrasse-prive-louer-aux-mamelles.html","Studio avec terrasse privée à louer aux mamelles","300.000  FCFA","Mamelles","media/annonces/pics/3df7f31cb40b68ddd32d1e5830a02768.jpg"
"1716574532-14","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Appartement F3 à louer à Ngor extension.","https://www.dakarvente.com/annonce-43745-appartement-f3-louer-ngor-extension.html","Appartement F3 à louer à Ngor extension.","260.000  FCFA","Ngor","media/annonces/pics/fb8c1103b696bf2c36eda5125f6b3ed5.jpg"
"1716574536-15","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","APPARTEMENT F3 À LOUER MAMELLES","https://www.dakarvente.com/annonce-43767-appartement-f3-louer-mamelles.html","APPARTEMENT F3 À LOUER MAMELLES","40.000  FCFA","Mamelles","media/annonces/pics/93ba73356bd54c564cd242e42429754a.jpeg"
"1716574540-16","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Penthouse meublé disponible à cité biagui","https://www.dakarvente.com/annonce-43791-penthouse-meubl-disponible-cit-biagui.html","Penthouse meublé disponible à cité biagui","120.000  FCFA","Biagui","media/annonces/pics/97e958c3c5b3a7dcd5c64fc2b4ce5e7d.jpeg"
"1716574543-17","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","STUDIO À LOUER CITÉ KEUR GORGUI","https://www.dakarvente.com/annonce-43793-studio-louer-cit-keur-gorgui.html","STUDIO À LOUER CITÉ KEUR GORGUI","45.000  FCFA","Cité Keur Gorgui","media/annonces/pics/deaa0811c65be66ab82f4f05ac41cee8.jpeg"
"1716574547-18","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=3","Studio meublé disponible à sacré","https://www.dakarvente.com/annonce-43816-studio-meubl-disponible-sacr.html","Studio meublé disponible à sacré","30.000  FCFA","Sacré Coeur","media/annonces/pics/bfc2f10882faf186b7f454e0f4f2a08b.jpeg"
