web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,prix,adresse,images-src
"1716556698-1","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Appartement à louer à mermoz","https://www.dakarvente.com/annonce-119-appartement-louer-mermoz.html","Appartement à louer à mermoz","2.700.000  FCFA","Plateau","media/annonces/pics/5963a9d0467c55a6ab1d3e4d1a934731.jpg"
"1716556702-2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Chambre à louer à fass","https://www.dakarvente.com/annonce-82-chambre-louer-fass.html","Chambre à louer à fass","40.000  FCFA","Plateau","media/annonces/pics/9210b790b8cf7f01724c688e72e39859.jpg"
"1716556707-3","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Appartement à la place de l'indépendance","https://www.dakarvente.com/annonce-64-appartement-la-place-de-l-indpendance.html","Appartement à la place de l'indépendance","1.300.000  FCFA","Plateau","media/annonces/pics/1874380673a88fd80582a6a25d8d1167.jpg"
"1716556713-4","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Appartement à liberté 6 au 2ème étage","https://www.dakarvente.com/annonce-63-appartement-libert-6-au-2me-tage.html","Appartement à liberté 6 au 2ème étage","225.000  FCFA","Plateau","media/annonces/pics/f258ba17512a06b22eea8907f577e983.jpg"
"1716556717-5","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Hann maristes - appartement, studio","https://www.dakarvente.com/annonce-61-hann-maristes-appartement-studio.html","Hann maristes - appartement, studio","120.000  FCFA","Plateau","media/annonces/pics/b24c5ccdd9dd42e85a52767f3863f389.jpg"
"1716556720-6","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Appartement à louer aux mamelles","https://www.dakarvente.com/annonce-60-appartement-louer-aux-mamelles.html","Appartement à louer aux mamelles","250.000  FCFA","Plateau","media/annonces/pics/c6ac0a89509bd11f244b63609201fa63.jpg"
"1716556724-7","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Hann maristes - appartement","https://www.dakarvente.com/annonce-59-hann-maristes-appartement.html","Hann maristes - appartement","200.000  FCFA","Plateau","media/annonces/pics/72930d2a68589c8c9c37c80c45de3584.jpg"
"1716556729-8","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Appartement lumineux à louer","https://www.dakarvente.com/annonce-37-appartement-lumineux-louer.html","Appartement lumineux à louer","260.000  FCFA","Plateau","media/annonces/pics/186de36c0f87f24cd211421cdbdb7112.jpg"
"1716556733-9","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Bel appartement à louer à petit mbao","https://www.dakarvente.com/annonce-36-bel-appartement-louer-petit-mbao.html","Bel appartement à louer à petit mbao","125.000  FCFA","Plateau","media/annonces/pics/e3eba5570dc4db0437079dfa02882c2f.jpg"
"1716556737-10","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Mamelles - appartement","https://www.dakarvente.com/annonce-22-mamelles-appartement.html","Mamelles - appartement","275.000  FCFA","Plateau","media/annonces/pics/34fc5f5c2564b68a251d3429f10a1ef5.jpg"
"1716556746-11","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Villa à ndiakhirate","https://www.dakarvente.com/annonce-21-villa-ndiakhirate.html","Villa à ndiakhirate","100.000  FCFA","Plateau","media/annonces/pics/4b55a54887282bbf170cfa0d6d4b6844.jpg"
"1716556750-12","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Virage - appartement","https://www.dakarvente.com/annonce-6-virage-appartement.html","Virage - appartement","1.000.000  FCFA","Plateau","media/annonces/pics/2d30b065e26bc6631e647bd3b1d637ec.jpg"
"1716556754-13","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Villa r+1 à mermoz","https://www.dakarvente.com/annonce-5-villa-r-1-mermoz.html","Villa r+1 à mermoz","1.300.000  FCFA","Plateau","media/annonces/pics/55c63adf7eefb610725597dce2c8f794.jpg"
"1716556758-14","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","Duplex à louer","https://www.dakarvente.com/annonce-208-duplex-louer.html","Duplex à louer","1.200.000  FCFA","Plateau","media/annonces/pics/1e6250e55aace91d807a0016d1c460ba.jpg"
"1716556762-15","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=34","A louer 4 appartements neufs de type f3 à liberté 6","https://www.dakarvente.com/annonce-205-a-louer-4-appartements-neufs-de-type-f3-libert-6.html","A louer 4 appartements neufs de type f3 à liberté 6","225.000  FCFA","Plateau","media/annonces/pics/82348f5def22e66d177f21b1a1817c78.jpg"
