web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,prix,adresse,image-src
"1716564493-1","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","TERRAIN À VENDRE DIAMNIADIO","https://www.dakarvente.com/annonce-36824-terrain-vendre-diamniadio.html","TERRAIN À VENDRE DIAMNIADIO","18.000.000  FCFA","Diamniadio","media/annonces/pics/cc347f9a5a55e205fa6aa6e6b8ddb881.jpeg"
"1716564497-2","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","Terrain nu","https://www.dakarvente.com/annonce-36833-terrain-nu.html","Terrain nu","8.000.000  FCFA","Kaolack","img/nophoto.png"
"1716564501-3","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","Terrain Délibération","https://www.dakarvente.com/annonce-36881-terrain-dlibration.html","Terrain Délibération","1.800.000  FCFA","Thiès","media/annonces/pics/e82a5d313a40c20733ecd89304c75752.jpg"
"1716564505-4","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","terrain de 271 metres carrés","https://www.dakarvente.com/annonce-36903-terrain-de-271-metres-carrs.html","terrain de 271 metres carrés","10.000.000  FCFA","Saly","media/annonces/pics/8b36357dbab0d6df01153e18ea9bea8d.jpg"
"1716564508-5","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","Vente de terrain","https://www.dakarvente.com/annonce-36913-vente-de-terrain.html","Vente de terrain","6.500.000  FCFA","Rufisque","media/annonces/pics/ac9e28981b8ca5e0bd00ee9ab0ba2afe.png"
"1716564512-6","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","Terrain 600m2 à vendre à Liberté 6","https://www.dakarvente.com/annonce-36932-terrain-600m2-vendre-libert-6.html","Terrain 600m2 à vendre à Liberté 6","400.000.000  FCFA","Liberté 6","media/annonces/pics/c3cb86a2be8f75c47ecf007969196f6e.jpg"
"1716564517-7","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","Terrain de 450 m2","https://www.dakarvente.com/annonce-36937-terrain-de-450-m2.html","Terrain de 450 m2","15.000.000  FCFA","Saly","media/annonces/pics/0be725e8de241b312e94f43eaf256a44.jpg"
"1716564521-8","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","Terrain à vendre","https://www.dakarvente.com/annonce-36948-terrain-vendre.html","Terrain à vendre","110.000.000  FCFA","Mamelles","media/annonces/pics/971ede037465eb01a890cae6b088f565.jpg"
"1716564525-9","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","Terrains à vendre à Diamniadio titre bail","https://www.dakarvente.com/annonce-36959-terrains-vendre-diamniadio-titre-bail.html","Terrains à vendre à Diamniadio titre bail","13.000.000  FCFA","Diamniadio","media/annonces/pics/3e517c08ca25de7b3513d14b93c99941.jpg"
"1716564528-10","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","Terrain 600 mètres carrés à Malicounda","https://www.dakarvente.com/annonce-36967-terrain-600-mtres-carrs-malicounda.html","Terrain 600 mètres carrés à Malicounda","10.000.000  FCFA","Mbour","media/annonces/pics/f79ef0023f801f3e6cce61f3a5118261.jpg"
"1716564532-11","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","terrain de 600 mètres carrés","https://www.dakarvente.com/annonce-37010-terrain-de-600-mtres-carrs.html","terrain de 600 mètres carrés","35.000.000  FCFA","Saly","media/annonces/pics/a32a22c35cbce5e6ea796b53b9d1c10b.jpg"
"1716564536-12","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=15","Terrains à vendre à Diamniadio PUD","https://www.dakarvente.com/annonce-37012-terrains-vendre-diamniadio-pud.html","Terrains à vendre à Diamniadio PUD","13.000.000  FCFA","Diamniadio","media/annonces/pics/e086c5c7dc2bd14c5d448fc3beec64de.jpeg"
